iter	RMSE
0	10.66273131
1	10.5603491
2	10.46125719
3	10.37822522
4	10.29592748
5	10.21837359
6	10.15032269
7	10.08360038
8	10.02634916
9	9.971920651
10	9.918115484
11	9.868601537
12	9.820579517
13	9.781120177
14	9.743383434
15	9.705129127
16	9.670929571
17	9.634889285
18	9.605833024
19	9.580255545
20	9.551127827
21	9.524687206
22	9.503044136
23	9.478382799
24	9.455854141
25	9.434630139
26	9.415308559
27	9.394976754
28	9.378793612
29	9.363566128
30	9.348343122
31	9.332896944
32	9.320646725
33	9.306026397
34	9.292440087
35	9.277134936
36	9.266596357
37	9.254175573
38	9.24309405
39	9.23250546
40	9.222180759
41	9.213161127
42	9.202860963
43	9.19280196
44	9.183228429
45	9.174048295
46	9.166417116
47	9.15673441
48	9.14914177
49	9.140405186
50	9.133115026
51	9.126856825
52	9.121386808
53	9.115472545
54	9.110896543
55	9.106339246
56	9.101323221
57	9.09521745
58	9.089208116
59	9.083920054
60	9.078542187
61	9.074388326
62	9.068241177
63	9.06267223
64	9.057183578
65	9.052358317
66	9.048533789
67	9.045542187
68	9.040597052
69	9.036103166
70	9.032465207
71	9.028810517
72	9.025029568
73	9.019943545
74	9.016243366
75	9.013065147
76	9.009930461
77	9.005876898
78	9.001801038
79	8.999485857
80	8.996365868
81	8.993881665
82	8.990945712
83	8.988520923
84	8.985607907
85	8.98265673
86	8.981396522
87	8.978811816
88	8.976769077
89	8.975161969
90	8.971941981
91	8.969379992
92	8.968121695
93	8.965981393
94	8.964566919
95	8.962335122
96	8.960228787
97	8.957678933
98	8.955361564
99	8.95408551
100	8.953682908
101	8.951176642
102	8.950729265
103	8.947558835
104	8.946121034
105	8.943704971
106	8.942687468
107	8.938689832
108	8.936390489
109	8.933827626
110	8.930984852
111	8.929497224
112	8.927538684
113	8.925862884
114	8.923549973
115	8.921947371
116	8.919862305
117	8.917621397
118	8.915371085
119	8.914221759
120	8.913473831
121	8.911545144
122	8.911191725
123	8.908803308
124	8.907144714
125	8.903741635
126	8.901124896
127	8.899119988
128	8.897909475
129	8.896064723
130	8.89397827
131	8.891907296
132	8.889935104
133	8.888982601
134	8.888299044
135	8.886092834
136	8.88534316
137	8.88342297
138	8.881007213
139	8.880351454
140	8.879628751
141	8.878438986
142	8.877641782
143	8.876191683
144	8.875346586
145	8.873210035
146	8.871587197
147	8.870406979
148	8.869385351
149	8.868446827
150	8.868284236
151	8.867034449
152	8.867015232
153	8.866208529
154	8.862849634
155	8.861146601
156	8.860699238
157	8.859258136
158	8.858599949
159	8.857449482
160	8.856176205
161	8.855176095
162	8.854361222
163	8.852571399
164	8.852404371
165	8.851704039
166	8.85082739
167	8.848960621
168	8.848491508
169	8.848166238
170	8.845930578
171	8.845446692
172	8.844331434
173	8.84329686
174	8.841005847
175	8.840046962
176	8.839051718
177	8.837925098
178	8.837381509
179	8.835445324
180	8.833548655
181	8.832216147
182	8.832063073
183	8.831539913
184	8.829525329
185	8.829152764
186	8.828331046
187	8.826567273
188	8.825540404
189	8.824220734
190	8.821693431
191	8.821336538
192	8.819903815
193	8.81920406
194	8.818726414
195	8.817840879
196	8.817076047
197	8.815656606
198	8.815517304
199	8.815411986
200	8.814928919
201	8.814825796
202	8.813702923
203	8.813685344
204	8.813683066
205	8.813011343
206	8.812232308
207	8.811543214
208	8.810438174
209	8.810380139
210	8.808845249
211	8.807031189
212	8.806246832
213	8.805965017
214	8.805320394
215	8.805080461
216	8.803692076
217	8.803663413
218	8.803552659
219	8.80207599
220	8.801940181
221	8.800232429
222	8.800169014
223	8.79899875
224	8.798912015
225	8.798752525
226	8.798535738
227	8.798137255
228	8.796696936
229	8.796564148
230	8.796452173
231	8.796404438
232	8.796402291
233	8.794412785
234	8.794230716
235	8.79422889
236	8.793431127
237	8.793425032
238	8.792825583
239	8.792787397
240	8.790713722
241	8.790256664
242	8.78912966
243	8.789129464
244	8.788740379
245	8.787659274
246	8.78655439
247	8.786110774
248	8.785718276
249	8.783584144
250	8.781892709
251	8.781628463
252	8.781628388
253	8.78145767
254	8.781386627
255	8.781385359
256	8.781377461
257	8.781071719
258	8.780430272
259	8.780392696
260	8.780325069
261	8.780310377
262	8.778817824
263	8.778813421
264	8.778463078
265	8.778461631
266	8.778307709
267	8.777297416
268	8.775713214
269	8.774349683
270	8.774341269
271	8.774130494
272	8.774103754
273	8.774098991
274	8.774094788
275	8.774082857
276	8.773415492
277	8.773411771
278	8.773288986
279	8.772559418
280	8.772523043
281	8.772514663
282	8.771027807
283	8.770062927
284	8.769282221
285	8.768080383
286	8.767673925
287	8.767652029
288	8.767210308
289	8.767130421
290	8.767127683
291	8.766708754
292	8.766697236
293	8.766451326
294	8.766119223
295	8.765408463
296	8.765370374
297	8.76394151
298	8.763121825
299	8.76290643
300	8.762901807
301	8.76241419
302	8.762058837
303	8.762055973
304	8.76205174
305	8.762001369
306	8.761965732
307	8.761963277
308	8.761039188
309	8.760023519
310	8.758389425
311	8.758352614
312	8.75763988
313	8.757639024
314	8.757162604
315	8.757158678
316	8.756453749
317	8.755092235
318	8.754522838
319	8.75398109
320	8.753592226
321	8.753256922
322	8.752778359
323	8.752688258
324	8.752682922
325	8.75237407
326	8.752286544
327	8.751264086
328	8.75059055
329	8.750585388
330	8.750582211
331	8.74958678
332	8.749552982
