iter	Passed	Remaining
0	12	12245
1	24	12262
2	36	12080
3	48	12193
4	60	12107
5	72	12043
6	83	11815
7	94	11752
8	105	11578
9	114	11363
10	125	11282
11	135	11188
12	148	11267
13	159	11204
14	169	11156
15	179	11061
16	192	11105
17	203	11102
18	216	11192
19	228	11207
20	241	11273
21	252	11234
22	264	11216
23	274	11181
24	287	11222
25	298	11178
26	312	11251
27	321	11169
28	333	11161
29	346	11212
30	358	11203
31	369	11165
32	381	11182
33	392	11152
34	405	11192
35	418	11209
36	429	11176
37	440	11155
38	452	11161
39	463	11114
40	476	11135
41	487	11129
42	498	11100
43	511	11106
44	522	11083
45	532	11040
46	545	11070
47	556	11046
48	570	11068
49	580	11037
50	593	11040
51	604	11019
52	615	11006
53	627	10984
54	636	10937
55	646	10895
56	658	10893
57	669	10874
58	679	10845
59	691	10826
60	701	10798
61	711	10769
62	724	10774
63	734	10741
64	745	10716
65	754	10683
66	765	10665
67	777	10662
68	791	10682
69	805	10699
70	818	10710
71	829	10689
72	842	10697
73	855	10705
74	867	10700
75	880	10705
76	891	10683
77	903	10681
78	915	10670
79	926	10651
80	940	10670
81	951	10655
82	962	10634
83	975	10637
84	988	10645
85	999	10621
86	1010	10603
87	1020	10578
88	1034	10587
89	1046	10581
90	1059	10581
91	1071	10573
92	1084	10573
93	1094	10553
94	1107	10546
95	1116	10516
96	1130	10525
97	1140	10496
98	1151	10480
99	1162	10464
100	1171	10426
101	1184	10427
102	1198	10438
103	1213	10450
104	1225	10443
105	1239	10451
106	1249	10430
107	1259	10406
108	1270	10388
109	1281	10368
110	1293	10358
111	1306	10362
112	1318	10350
113	1329	10330
114	1340	10316
115	1353	10311
116	1365	10305
117	1378	10305
118	1390	10292
119	1403	10294
120	1414	10273
121	1425	10262
122	1439	10264
123	1450	10249
124	1462	10240
125	1475	10235
126	1488	10232
127	1501	10226
128	1512	10208
129	1524	10204
130	1535	10184
131	1548	10182
132	1559	10165
133	1570	10149
134	1579	10123
135	1590	10105
136	1600	10081
137	1613	10077
138	1623	10054
139	1635	10047
140	1645	10024
141	1656	10009
142	1668	10001
143	1681	9995
144	1692	9979
145	1705	9975
146	1718	9970
147	1730	9962
148	1743	9959
149	1756	9954
150	1767	9936
151	1780	9934
152	1790	9912
153	1804	9913
154	1816	9904
155	1827	9888
156	1839	9878
157	1852	9871
158	1863	9858
159	1874	9839
160	1885	9824
161	1898	9821
162	1909	9806
163	1922	9799
164	1933	9783
165	1945	9774
166	1956	9759
167	1966	9740
168	1977	9721
169	1988	9707
170	2000	9698
171	2011	9683
172	2024	9679
173	2036	9669
174	2050	9665
175	2061	9651
176	2072	9637
177	2083	9623
178	2094	9606
179	2105	9591
180	2117	9579
181	2128	9566
182	2138	9548
183	2151	9541
184	2161	9523
185	2173	9512
186	2186	9505
187	2198	9494
188	2208	9477
189	2220	9466
190	2230	9448
191	2241	9432
192	2256	9434
193	2270	9433
194	2285	9434
195	2331	9564
196	2352	9588
197	2362	9568
198	2371	9544
199	2382	9528
200	2392	9509
201	2403	9496
202	2413	9476
203	2425	9466
204	2430	9424
205	2441	9408
206	2451	9393
207	2464	9384
208	2473	9363
209	2486	9354
210	2496	9336
211	2509	9326
212	2519	9309
213	2533	9306
214	2549	9308
215	2561	9295
216	2570	9274
217	2578	9248
218	2587	9228
219	2601	9222
220	2613	9213
221	2625	9200
222	2634	9179
223	2669	9249
224	2680	9233
225	2693	9225
226	2703	9205
227	2714	9190
228	2727	9183
229	2737	9163
230	2749	9153
231	2762	9144
232	2769	9115
233	2784	9114
234	2794	9097
235	2798	9059
236	2811	9049
237	2815	9012
238	2828	9005
239	2837	8984
240	2849	8973
241	2862	8965
242	2872	8949
243	2880	8923
244	2892	8914
245	2905	8905
246	2917	8894
247	2928	8881
248	2940	8869
249	2952	8857
250	2963	8844
251	2976	8834
252	2981	8801
253	2989	8780
254	3002	8770
255	3006	8738
256	3016	8721
257	3032	8721
258	3047	8718
259	3057	8701
260	3065	8679
261	3073	8657
262	3086	8649
263	3092	8622
264	3101	8603
265	3109	8579
266	3120	8566
267	3131	8552
268	3142	8540
269	3154	8529
270	3165	8514
271	3174	8497
272	3183	8478
273	3189	8452
274	3195	8425
275	3203	8402
276	3213	8387
277	3223	8371
278	3235	8360
279	3244	8343
280	3254	8326
281	3261	8303
282	3274	8295
283	3285	8284
284	3296	8270
285	3309	8261
286	3318	8244
287	3329	8232
288	3342	8222
289	3355	8215
290	3364	8197
291	3376	8187
292	3385	8170
293	3393	8149
294	3401	8129
295	3412	8117
296	3422	8101
297	3436	8095
298	3446	8079
299	3460	8075
300	3469	8057
301	3480	8045
302	3491	8031
303	3498	8008
304	3504	7985
305	3512	7965
306	3521	7949
307	3527	7925
308	3538	7911
309	3548	7897
310	3560	7887
311	3572	7878
312	3582	7863
313	3591	7845
314	3601	7832
315	3611	7817
316	3622	7804
317	3638	7802
318	3647	7787
319	3658	7775
320	3671	7766
321	3682	7753
322	3691	7737
323	3703	7727
324	3710	7705
325	3721	7694
326	3729	7675
327	3741	7664
328	3750	7649
329	3757	7628
330	3763	7606
331	3775	7596
332	3789	7589
333	3797	7572
334	3807	7558
335	3826	7561
336	3840	7555
337	3850	7541
338	3864	7535
339	3877	7526
340	3892	7523
341	3908	7519
342	3928	7524
343	3940	7513
344	3950	7501
345	3961	7487
346	3979	7488
347	4040	7569
348	4069	7591
349	4080	7578
350	4095	7573
351	4109	7565
352	4121	7554
353	4136	7548
354	4152	7544
355	4166	7537
356	4176	7522
357	4235	7596
358	4249	7587
359	4266	7584
360	4306	7623
361	4329	7629
362	4442	7796
363	4474	7818
364	4485	7804
365	4495	7786
366	4516	7790
367	4526	7774
368	4539	7762
369	4547	7742
370	4554	7722
371	4564	7706
372	4577	7694
373	4590	7683
374	4598	7663
375	4609	7650
376	4616	7629
377	4630	7620
378	4640	7602
379	4651	7588
380	4660	7572
381	4668	7552
382	4677	7535
383	4685	7516
384	4694	7499
385	4703	7481
386	4713	7465
387	4724	7451
388	4735	7438
389	4749	7428
390	4757	7410
391	4770	7399
392	4782	7387
393	4793	7372
394	4799	7351
395	4809	7335
396	4818	7318
397	4828	7304
398	4840	7291
399	4850	7276
400	4859	7258
401	4866	7239
402	4875	7223
403	4889	7212
404	4901	7200
405	4913	7189
406	4923	7174
407	4933	7157
408	4942	7142
409	4949	7122
410	4959	7107
411	4968	7090
412	4977	7075
413	4991	7065
414	5000	7048
415	5009	7032
416	5019	7017
417	5032	7006
418	5039	6987
419	5048	6972
420	5059	6958
421	5070	6944
422	5083	6933
423	5097	6924
424	5113	6918
425	5123	6903
426	5133	6888
427	5147	6879
428	5159	6867
429	5173	6858
430	5186	6846
431	5194	6830
432	5204	6814
433	5215	6801
434	5226	6789
435	5237	6775
436	5249	6762
437	5258	6747
438	5272	6737
439	5283	6724
440	5291	6706
441	5301	6692
442	5309	6675
443	5319	6661
444	5331	6648
445	5339	6632
446	5348	6616
447	5359	6603
448	5376	6597
449	5391	6589
450	5404	6578
451	5418	6569
452	5432	6560
453	5443	6546
454	5456	6535
455	5469	6525
456	5480	6511
457	5494	6502
458	5507	6491
459	5519	6479
460	5532	6468
461	5541	6453
462	5555	6443
463	5565	6429
464	5576	6415
465	5585	6400
466	5593	6383
467	5604	6370
468	5614	6356
469	5624	6342
470	5634	6327
471	5644	6314
472	5659	6305
473	5667	6289
474	5679	6277
475	5691	6265
476	5705	6255
477	5720	6247
478	5732	6234
479	5747	6226
480	5759	6214
481	5771	6202
482	5783	6190
483	5796	6179
484	5808	6168
485	5820	6156
486	5837	6148
487	5850	6138
488	5863	6127
489	5875	6115
490	5889	6105
491	5902	6094
492	5911	6079
493	5924	6068
494	5938	6058
495	5952	6048
496	5964	6036
497	5977	6025
498	5988	6012
499	6000	6000
500	6010	5986
501	6021	5973
502	6033	5961
503	6044	5948
504	6055	5935
505	6065	5921
506	6078	5910
507	6088	5897
508	6099	5883
509	6111	5872
510	6118	5855
511	6131	5843
512	6141	5830
513	6150	5815
514	6157	5798
515	6167	5785
516	6175	5769
517	6186	5756
518	6192	5739
519	6201	5724
520	6214	5713
521	6225	5700
522	6236	5687
523	6246	5674
524	6261	5664
525	6272	5652
526	6283	5639
527	6294	5626
528	6304	5613
529	6319	5603
530	6329	5590
531	6341	5578
532	6350	5564
533	6360	5550
534	6371	5538
535	6382	5525
536	6394	5513
537	6402	5498
538	6412	5484
539	6424	5472
540	6434	5458
541	6446	5447
542	6457	5434
543	6468	5421
544	6477	5407
545	6489	5396
546	6501	5384
547	6513	5372
548	6526	5361
549	6537	5349
550	6550	5337
551	6562	5326
552	6572	5312
553	6584	5300
554	6599	5291
555	6611	5279
556	6621	5266
557	6633	5254
558	6645	5242
559	6659	5232
560	6666	5216
561	6675	5202
562	6683	5187
563	6691	5173
564	6705	5162
565	6717	5150
566	6729	5138
567	6744	5129
568	6759	5119
569	6770	5107
570	6782	5095
571	6797	5086
572	6810	5075
573	6821	5062
574	6830	5048
575	6845	5038
576	6854	5024
577	6865	5012
578	6877	5000
579	6889	4988
580	6902	4977
581	6916	4967
582	6927	4955
583	6940	4943
584	6948	4929
585	6964	4920
586	6974	4907
587	6986	4895
588	6997	4882
589	7005	4868
590	7018	4857
591	7027	4843
592	7038	4830
593	7047	4816
594	7055	4802
595	7066	4789
596	7076	4777
597	7089	4765
598	7100	4753
599	7112	4741
600	7122	4728
601	7132	4715
602	7138	4699
603	7148	4686
604	7160	4674
605	7170	4661
606	7179	4648
607	7187	4634
608	7195	4619
609	7204	4606
610	7212	4591
611	7219	4576
612	7227	4563
613	7237	4550
614	7248	4537
615	7258	4524
616	7268	4511
617	7278	4498
618	7289	4486
619	7300	4474
620	7310	4461
621	7319	4447
622	7329	4435
623	7341	4423
624	7353	4412
625	7365	4400
626	7374	4387
627	7384	4374
628	7398	4363
629	7407	4350
630	7417	4337
631	7428	4325
632	7438	4312
633	7448	4300
634	7460	4288
635	7470	4275
636	7481	4263
637	7493	4251
638	7503	4239
639	7517	4228
640	7528	4216
641	7538	4203
642	7551	4192
643	7561	4179
644	7570	4166
645	7580	4154
646	7593	4143
647	7603	4130
648	7613	4117
649	7623	4105
650	7634	4092
651	7645	4080
652	7668	4074
653	7684	4065
654	7702	4056
655	7715	4046
656	7727	4034
657	7737	4021
658	7748	4009
659	7760	3997
660	7770	3985
661	7780	3972
662	7791	3960
663	7799	3946
664	7808	3933
665	7817	3920
666	7828	3908
667	7838	3895
668	7847	3882
669	7857	3870
670	7865	3856
671	7875	3843
672	7884	3831
673	7893	3818
674	7902	3804
675	7913	3793
676	7925	3781
677	7934	3768
678	7945	3756
679	7956	3744
680	7966	3731
681	7981	3721
682	7991	3709
683	8002	3697
684	8012	3684
685	8021	3671
686	8028	3657
687	8040	3646
688	8050	3633
689	8061	3621
690	8073	3610
691	8086	3599
692	8095	3586
693	8106	3574
694	8117	3562
695	8129	3550
696	8139	3538
697	8147	3525
698	8158	3513
699	8169	3501
700	8179	3488
701	8188	3476
702	8198	3463
703	8208	3451
704	8218	3438
705	8229	3427
706	8240	3414
707	8251	3403
708	8258	3389
709	8270	3377
710	8280	3365
711	8290	3353
712	8301	3341
713	8314	3330
714	8324	3318
715	8335	3306
716	8345	3293
717	8356	3281
718	8366	3269
719	8377	3258
720	8390	3246
721	8402	3235
722	8412	3223
723	8424	3211
724	8433	3198
725	8445	3187
726	8456	3175
727	8468	3164
728	8478	3151
729	8488	3139
730	8498	3127
731	8509	3115
732	8521	3103
733	8531	3091
734	8541	3079
735	8551	3067
736	8563	3055
737	8575	3044
738	8585	3032
739	8598	3021
740	8609	3009
741	8620	2997
742	8630	2985
743	8644	2974
744	8657	2963
745	8671	2952
746	8683	2941
747	8695	2929
748	8703	2916
749	8712	2904
750	8723	2892
751	8734	2880
752	8745	2868
753	8758	2857
754	8767	2844
755	8777	2832
756	8786	2820
757	8796	2808
758	8807	2796
759	8814	2783
760	8827	2772
761	8837	2760
762	8848	2748
763	8858	2736
764	8865	2723
765	8877	2711
766	8889	2700
767	8900	2688
768	8909	2676
769	8918	2663
770	8929	2652
771	8938	2639
772	8949	2628
773	8958	2615
774	8965	2602
775	8975	2590
776	8986	2579
777	8996	2567
778	9008	2555
779	9020	2544
780	9029	2531
781	9039	2520
782	9051	2508
783	9063	2496
784	9074	2485
785	9083	2473
786	9091	2460
787	9105	2449
788	9115	2437
789	9126	2426
790	9137	2414
791	9148	2402
792	9158	2390
793	9169	2379
794	9176	2366
795	9184	2353
796	9190	2340
797	9200	2328
798	9209	2316
799	9219	2304
800	9229	2292
801	9241	2281
802	9251	2269
803	9263	2258
804	9274	2246
805	9286	2235
806	9295	2223
807	9309	2212
808	9318	2199
809	9330	2188
810	9344	2177
811	9355	2166
812	9367	2154
813	9377	2142
814	9388	2131
815	9395	2118
816	9410	2107
817	9423	2096
818	9432	2084
819	9440	2072
820	9446	2059
821	9457	2048
822	9468	2036
823	9477	2024
824	9486	2012
825	9499	2001
826	9508	1989
827	9518	1977
828	9525	1964
829	9532	1952
830	9543	1940
831	9556	1929
832	9566	1917
833	9577	1906
834	9588	1894
835	9600	1883
836	9610	1871
837	9621	1859
838	9630	1847
839	9641	1836
840	9653	1825
841	9665	1813
842	9677	1802
843	9691	1791
844	9701	1779
845	9711	1767
846	9723	1756
847	9735	1745
848	9747	1733
849	9758	1722
850	9770	1710
851	9781	1699
852	9791	1687
853	9802	1675
854	9813	1664
855	9824	1652
856	9835	1641
857	9842	1629
858	9857	1618
859	9869	1606
860	9880	1595
861	9892	1583
862	9899	1571
863	9910	1559
864	9919	1548
865	9928	1536
866	9939	1524
867	9950	1513
868	9960	1501
869	9974	1490
870	9985	1478
871	9997	1467
872	10007	1455
873	10019	1444
874	10031	1433
875	10043	1421
876	10054	1410
877	10066	1398
878	10074	1386
879	10087	1375
880	10102	1364
881	10113	1353
882	10125	1341
883	10137	1330
884	10150	1319
885	10163	1307
886	10172	1295
887	10185	1284
888	10196	1273
889	10210	1262
890	10222	1250
891	10233	1239
892	10244	1227
893	10257	1216
894	10269	1204
895	10280	1193
896	10290	1181
897	10301	1170
898	10314	1158
899	10326	1147
